,Unnamed: 0,event,cosmo,url,filename,catalog
24,24,GW190412,True,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190412_053044_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190412_053044_PEDataRelease_mixed_cosmo.h5,GWTC-2.1
25,25,GW190412,False,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190412_053044_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190412_053044_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1
26,26,GW190413_052954,True,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190413_052954_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190413_052954_PEDataRelease_mixed_cosmo.h5,GWTC-2.1
27,27,GW190413_052954,False,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190413_052954_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190413_052954_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1
28,28,GW190413_134308,True,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190413_134308_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190413_134308_PEDataRelease_mixed_cosmo.h5,GWTC-2.1
29,29,GW190413_134308,False,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190413_134308_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190413_134308_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1
30,30,GW190421_213856,True,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190421_213856_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190421_213856_PEDataRelease_mixed_cosmo.h5,GWTC-2.1
31,31,GW190421_213856,False,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190421_213856_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190421_213856_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1
32,32,GW190425,True,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190425_081805_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190425_081805_PEDataRelease_mixed_cosmo.h5,GWTC-2.1
33,33,GW190425,False,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190425_081805_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190425_081805_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1
34,34,GW190426_190642,True,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190426_190642_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190426_190642_PEDataRelease_mixed_cosmo.h5,GWTC-2.1
35,35,GW190426_190642,False,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190426_190642_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190426_190642_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1
36,36,GW190503_185404,True,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190503_185404_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190503_185404_PEDataRelease_mixed_cosmo.h5,GWTC-2.1
37,37,GW190503_185404,False,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190503_185404_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190503_185404_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1
38,38,GW190512_180714,True,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190512_180714_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190512_180714_PEDataRelease_mixed_cosmo.h5,GWTC-2.1
39,39,GW190512_180714,False,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190512_180714_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190512_180714_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1
40,40,GW190513_205428,True,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190513_205428_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190513_205428_PEDataRelease_mixed_cosmo.h5,GWTC-2.1
41,41,GW190513_205428,False,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190513_205428_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190513_205428_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1
42,42,GW190514_065416,True,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190514_065416_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190514_065416_PEDataRelease_mixed_cosmo.h5,GWTC-2.1
43,43,GW190514_065416,False,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190514_065416_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190514_065416_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1
44,44,GW190517_055101,True,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190517_055101_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190517_055101_PEDataRelease_mixed_cosmo.h5,GWTC-2.1
45,45,GW190517_055101,False,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190517_055101_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190517_055101_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1
46,46,GW190519_153544,True,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190519_153544_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190519_153544_PEDataRelease_mixed_cosmo.h5,GWTC-2.1
47,47,GW190519_153544,False,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190519_153544_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190519_153544_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1
48,48,GW190521,True,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190521_030229_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190521_030229_PEDataRelease_mixed_cosmo.h5,GWTC-2.1
49,49,GW190521,False,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190521_030229_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190521_030229_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1
50,50,GW190521_074359,True,https://zenodo.org/record/6513631/files/IGWN-GWTC2p1-v2-GW190521_074359_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC2p1-v2-GW190521_074359_PEDataRelease_mixed_cosmo.h5,GWTC-2.1
