,event,catalog,url,filename,cosmo
47,GW190403_051519,GWTC-2.1,https://zenodo.org/record/5117703/files/IGWN-GWTC2p1-v1-GW190403_051519_PEDataRelease.h5?download=1,IGWN-GWTC2p1-v1-GW190403_051519_PEDataRelease.h5,
49,GW190426_190642,GWTC-2.1,https://zenodo.org/record/5117703/files/IGWN-GWTC2p1-v1-GW190426_190642_PEDataRelease.h5?download=1,IGWN-GWTC2p1-v1-GW190426_190642_PEDataRelease.h5,
51,GW190725_174728,GWTC-2.1,https://zenodo.org/record/5117703/files/IGWN-GWTC2p1-v1-GW190725_174728_PEDataRelease.h5?download=1,IGWN-GWTC2p1-v1-GW190725_174728_PEDataRelease.h5,
53,GW190805_211137,GWTC-2.1,https://zenodo.org/record/5117703/files/IGWN-GWTC2p1-v1-GW190805_211137_PEDataRelease.h5?download=1,IGWN-GWTC2p1-v1-GW190805_211137_PEDataRelease.h5,
55,GW190916_200658,GWTC-2.1,https://zenodo.org/record/5117703/files/IGWN-GWTC2p1-v1-GW190916_200658_PEDataRelease.h5?download=1,IGWN-GWTC2p1-v1-GW190916_200658_PEDataRelease.h5,
57,GW190917_114630,GWTC-2.1,https://zenodo.org/record/5117703/files/IGWN-GWTC2p1-v1-GW190917_114630_PEDataRelease.h5?download=1,IGWN-GWTC2p1-v1-GW190917_114630_PEDataRelease.h5,
59,GW190925_232845,GWTC-2.1,https://zenodo.org/record/5117703/files/IGWN-GWTC2p1-v1-GW190925_232845_PEDataRelease.h5?download=1,IGWN-GWTC2p1-v1-GW190925_232845_PEDataRelease.h5,
61,GW190926_050336,GWTC-2.1,https://zenodo.org/record/5117703/files/IGWN-GWTC2p1-v1-GW190926_050336_PEDataRelease.h5?download=1,IGWN-GWTC2p1-v1-GW190926_050336_PEDataRelease.h5,
63,GW191103_012549,GWTC-3,https://zenodo.org/record/5546663/files/IGWN-GWTC3p0-v1-GW191103_012549_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC3p0-v1-GW191103_012549_PEDataRelease_mixed_cosmo.h5,True
65,GW191103_012549,GWTC-3,https://zenodo.org/record/5546663/files/IGWN-GWTC3p0-v1-GW191103_012549_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC3p0-v1-GW191103_012549_PEDataRelease_mixed_nocosmo.h5,False
67,GW191105_143521,GWTC-3,https://zenodo.org/record/5546663/files/IGWN-GWTC3p0-v1-GW191105_143521_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC3p0-v1-GW191105_143521_PEDataRelease_mixed_cosmo.h5,True
69,GW191105_143521,GWTC-3,https://zenodo.org/record/5546663/files/IGWN-GWTC3p0-v1-GW191105_143521_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC3p0-v1-GW191105_143521_PEDataRelease_mixed_nocosmo.h5,False
71,GW191109_010717,GWTC-3,https://zenodo.org/record/5546663/files/IGWN-GWTC3p0-v1-GW191109_010717_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC3p0-v1-GW191109_010717_PEDataRelease_mixed_cosmo.h5,True
73,GW191109_010717,GWTC-3,https://zenodo.org/record/5546663/files/IGWN-GWTC3p0-v1-GW191109_010717_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC3p0-v1-GW191109_010717_PEDataRelease_mixed_nocosmo.h5,False
75,GW191113_071753,GWTC-3,https://zenodo.org/record/5546663/files/IGWN-GWTC3p0-v1-GW191113_071753_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC3p0-v1-GW191113_071753_PEDataRelease_mixed_cosmo.h5,True
77,GW191113_071753,GWTC-3,https://zenodo.org/record/5546663/files/IGWN-GWTC3p0-v1-GW191113_071753_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC3p0-v1-GW191113_071753_PEDataRelease_mixed_nocosmo.h5,False
79,GW191126_115259,GWTC-3,https://zenodo.org/record/5546663/files/IGWN-GWTC3p0-v1-GW191126_115259_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC3p0-v1-GW191126_115259_PEDataRelease_mixed_cosmo.h5,True
81,GW191126_115259,GWTC-3,https://zenodo.org/record/5546663/files/IGWN-GWTC3p0-v1-GW191126_115259_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC3p0-v1-GW191126_115259_PEDataRelease_mixed_nocosmo.h5,False
83,GW191127_050227,GWTC-3,https://zenodo.org/record/5546663/files/IGWN-GWTC3p0-v1-GW191127_050227_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC3p0-v1-GW191127_050227_PEDataRelease_mixed_cosmo.h5,True
85,GW191127_050227,GWTC-3,https://zenodo.org/record/5546663/files/IGWN-GWTC3p0-v1-GW191127_050227_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC3p0-v1-GW191127_050227_PEDataRelease_mixed_nocosmo.h5,False
87,GW191129_134029,GWTC-3,https://zenodo.org/record/5546663/files/IGWN-GWTC3p0-v1-GW191129_134029_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC3p0-v1-GW191129_134029_PEDataRelease_mixed_cosmo.h5,True
89,GW191129_134029,GWTC-3,https://zenodo.org/record/5546663/files/IGWN-GWTC3p0-v1-GW191129_134029_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC3p0-v1-GW191129_134029_PEDataRelease_mixed_nocosmo.h5,False
91,GW191204_110529,GWTC-3,https://zenodo.org/record/5546663/files/IGWN-GWTC3p0-v1-GW191204_110529_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC3p0-v1-GW191204_110529_PEDataRelease_mixed_cosmo.h5,True
93,GW191204_110529,GWTC-3,https://zenodo.org/record/5546663/files/IGWN-GWTC3p0-v1-GW191204_110529_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC3p0-v1-GW191204_110529_PEDataRelease_mixed_nocosmo.h5,False
95,GW191204_171526,GWTC-3,https://zenodo.org/record/5546663/files/IGWN-GWTC3p0-v1-GW191204_171526_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC3p0-v1-GW191204_171526_PEDataRelease_mixed_cosmo.h5,True
97,GW191204_171526,GWTC-3,https://zenodo.org/record/5546663/files/IGWN-GWTC3p0-v1-GW191204_171526_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC3p0-v1-GW191204_171526_PEDataRelease_mixed_nocosmo.h5,False
99,GW191215_223052,GWTC-3,https://zenodo.org/record/5546663/files/IGWN-GWTC3p0-v1-GW191215_223052_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC3p0-v1-GW191215_223052_PEDataRelease_mixed_cosmo.h5,True
101,GW191215_223052,GWTC-3,https://zenodo.org/record/5546663/files/IGWN-GWTC3p0-v1-GW191215_223052_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC3p0-v1-GW191215_223052_PEDataRelease_mixed_nocosmo.h5,False
103,GW191216_213338,GWTC-3,https://zenodo.org/record/5546663/files/IGWN-GWTC3p0-v1-GW191216_213338_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC3p0-v1-GW191216_213338_PEDataRelease_mixed_cosmo.h5,True
105,GW191216_213338,GWTC-3,https://zenodo.org/record/5546663/files/IGWN-GWTC3p0-v1-GW191216_213338_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC3p0-v1-GW191216_213338_PEDataRelease_mixed_nocosmo.h5,False
107,GW191219_163120,GWTC-3,https://zenodo.org/record/5546663/files/IGWN-GWTC3p0-v1-GW191219_163120_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC3p0-v1-GW191219_163120_PEDataRelease_mixed_cosmo.h5,True
109,GW191219_163120,GWTC-3,https://zenodo.org/record/5546663/files/IGWN-GWTC3p0-v1-GW191219_163120_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC3p0-v1-GW191219_163120_PEDataRelease_mixed_nocosmo.h5,False
111,GW191222_033537,GWTC-3,https://zenodo.org/record/5546663/files/IGWN-GWTC3p0-v1-GW191222_033537_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC3p0-v1-GW191222_033537_PEDataRelease_mixed_cosmo.h5,True
113,GW191222_033537,GWTC-3,https://zenodo.org/record/5546663/files/IGWN-GWTC3p0-v1-GW191222_033537_PEDataRelease_mixed_nocosmo.h5?download=1,IGWN-GWTC3p0-v1-GW191222_033537_PEDataRelease_mixed_nocosmo.h5,False
115,GW191230_180458,GWTC-3,https://zenodo.org/record/5546663/files/IGWN-GWTC3p0-v1-GW191230_180458_PEDataRelease_mixed_cosmo.h5?download=1,IGWN-GWTC3p0-v1-GW191230_180458_PEDataRelease_mixed_cosmo.h5,True
